id,nama,kategori,foto
CCTV HIK,CCTV HIKVISION,CCTV,img\brand\HIKVISION LOGO.png
CCTV DAHUA,CCTV DAHUA,CCTV,img\brand\DAHUA LOGO.png
CCTV EZVIZ,CCTV EZVIZ,CCTV,img\brand\EZVIZ LOGO.png
LAPTOP ASUS,LAPTOP ASUS,LAPTOP,img\brand\ASUS LOGO.png
LAPTOP ACER,LAPTOP ACER,LAPTOP,img\brand\ACER LOGO.png
LAPTOP AXIOO,LAPTOP AXIOO,LAPTOP,img\brand\AXIOO LOGO.png
LAPTOP LENOVO,LAPTOP LENOVO,LAPTOP,img\brand\LENOVO LOGO.png
LAPTOP ADVAN,LAPTOP ADVAN,LAPTOP,img\brand\ADVAN LOGO.png
PRINTER EPSON,PRINTER EPSON,PRINTER,img\brand\EPSON LOGO.png
PRINTER CANON,PRINTER CANON,PRINTER,img\brand\CANON LOGO.png
INTEL ,INTEL,PROCESSOR,img\brand\INTEL LOGO.png
AMD,AMD,PROCESSOR,img\brand\AMD LOGO.png
SAMSUNG,SAMSUNG,GADGET,img\brand\SAMSUNG LOGO.png
REALME,REALME,GADGET,img\brand\REALME LOGO.png
OPPO,OPPO,GADGET,img\brand\OPPO LOGO.png
VIVO,VIVO,GADGET,img\brand\VIVO LOGO.png
SMARTPHONE XIAOMI,SMARTPHONE XIAOMI,GADGET,img\brand\XIAOMI LOGO.png
TECNO,TECNO,GADGET,img\brand\TECNO LOGO.png
CORSAIR ,CORSAIR,RAM,img\brand\CORSAIR LOGO.png
RAM VGEN,RAM VGEN ,RAM,img\brand\VGEN LOGO.png
SEAGATE INTERNAL,SEAGATE INTERNAL,HARDDISK,img\brand\SEAGATE LOGO.png
WESTERN DIGITAL INTERNAL,WESTERN DIGITAL INTERNAL,HARDDISK,img\brand\WD LOGO.png
SSD VGEN PLATINUM,SSD VGEN PLATINUM,SSD,img\brand\VGEN LOGO.png
SSD VGEN RESCUE,SSD VGEN RESCUE,SSD,img\brand\VGEN LOGO.png
SSD VGEN PORTABLE,SSD VGEN PORTABLE,SSD,img\brand\VGEN LOGO.png
ADATA,ADATA,SSD,img\brand\ADATA LOGO.png
YUASA,YUASA,BATERAI UPS,img\brand\YUASA LOGO.png
CUBE GAMING,CUBE GAMING,POWER SUPPLY,img\brand\CUBE GAMIN GLOGO.jfif
CORSAIR ,CORSAIR,POWER SUPPLY,img\brand\CORSAIR LOGO.png
PNY,PNY,POWER SUPPLY,img\brand\PNY LOGO.png
MSI,MSI,MOTHERBOARD,img\brand\MSI LOGO.png
GIGABYTE,GIGABYTE,MOTHERBOARD,img\brand\GIGABYTE LOGO.png
ASUS,ASUS,MOTHERBOARD,img\brand\ASUS LOGO.png
ENLIGHT,ENLIGHT,POWER SUPPLY,img\brand\ENLIGHT LOGO.png
ASROCK ,ASROCK,MOTHERBOARD,img\brand\ASROCK LOGO.png
ECS,ECS,MOTHERBOARD,img\brand\ECS LOGO.png
PC RAKITAN,PC RAKITAN,PC READY,img\brand\PC RAKITAN.jfif
PC AIO LENOVO,PC AIO LENOVO,PC READY,img\brand\LENOVO LOGO.png
SMARTLOCK EZVIZ,SMARTLOCK EZVIZ,SMARTLOCK,img\brand\EZVIZ LOGO.png
SISTEM,SISTEM,SERVICE,img\brand\SISTEM.jfif
RESET PRINTER,RESET PRINTER,SERVICE,img\brand\PRINTER 1.jfif
CLEANING DEBU PC/LAPTOP,CLEANING DEBU PC/LAPTOP,SERVICE,img\brand\CLEANING DEBU.jfif
INDOSAT ROUTER,INDOSAT ROUTER,NETWORKING,img\brand\INDOSAT ROUTER.png
KABEL FIBER OPTIK,KABEL FIBER OPTIK,NETWORKING,img\brand\KABEL FO.webp
KABEL LAN,KABEL LAN,NETWORKING,img\brand\KABEL LAN.jfif
KONEKTOR BAREL LAN,KONEKTOR BAREL LAN,NETWORKING,img\brand\KONEKTOR SAMBUNGAN LAN.webp
KONEKTOR RJ45,KONEKTOR RJ45,NETWORKING,img\brand\KONEKTOR RJ45.jpg
MERCUSYS,MERCUSYS,NETWORKING,img\brand\MERCUSYS.png
MIKROTIK,MIKROTIK,NETWORKING,img\brand\mikrotik.png
TARMOC,TARMOC,NETWORKING,img\brand\tarmoc logo.png
TP LINK,TP LINK,NETWORKING,img\brand\tp link logo.png
RUIJIE,RUIJIE,NETWORKING,img\brand\ruijie logo.png
HUAWEI,HUAWEI,GADGET,img\brand\HUAWEI.png
XIAOMI SMART TV,XIAOMI SMART TV,SMART TV,img\brand\XIAOMI LOGO.png
SONY PLAYSTATION,SONY PLAYSTATION,PLAY STATION,img\brand\SONY PLAYSTATION.png
IPOS,IPOS,PROGRAM KASIR,img\brand\IPOS.jfif
INFINIX,INFINIX,GADGET,img\brand\INFINIX.png
PAKET INCLUDE INSTALASI,PAKET INCLUDE INSTALASI,CCTV,img\brand\EZVIZ LOGO.png
LG,LG,MONITOR,img\brand\LG LOGO.png
APPLE,APPLE,GADGET,img\brand\APPLE.png
TINTA PRINTER EPSON,TINTA PRINTER EPSON,PRINTER,img\brand\tinta epson 003.jpg
PC AIO ASUS,PC AIO ASUS,PC READY,img\brand\ASUS LOGO.png
SPEAKER HARMAN KARDON,SPEAKER HARMAN KARDON,SPEAKER,img\brand\HARMAN KARDON.jpg
SPEAKER FANTECH,SPEAKER FANTECH,SPEAKER,img\brand\FANTECH.png
CCTV HILOOK,CCTV HILOOK,CCTV,img\brand\HILOOK.jfif
ANTI GORES,ANTI GORES,ACCESSORIES,img\brand\SCREEN PROTECTOR.jfif
ARM MONITOR BRACKET,ARM MONITOR BRACKET,ACCESSORIES,img\brand\ARM MONITOR BRACKET.jfif
CASE HDD & SSD EKSTERNAL,CASE HDD & SSD EKSTERNAL,ACCESSORIES,img\brand\CASE HDD & SSD.jfif
FLASHDISK,FLASHDISK,ACCESSORIES,img\brand\FD.png
GAMEPAD,GAMEPAD,ACCESSORIES,img\brand\GAMEPAD.jfif
GAMING CHAIR,GAMING CHAIR,ACCESSORIES,img\brand\GAMING CHAIRR.jpg
GAMING HEADSET,GAMING HEADSET,ACCESSORIES,img\brand\GAMING HEADSET.jfif
