id,nama,harga,brand,foto,spek,harga_promo,status,bonus
P01,CCTV EZVIZ INDOOR C6N  G1 8MP,1029000,CCTV EZVIZ,img\produk\C6N G1 8MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),999000,,
P02,CCTV EZVIZ INDOOR C6N  2MP,495000,CCTV EZVIZ,img\produk\C6N 2MP.webp,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),469000,,
P03,CCTV EZVIZ INDOOR TY1 2MP,495000,CCTV EZVIZ,img\produk\TY1 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),469000,,
P04,CCTV EZVIZ INDOOR C6N  3MP,529000,CCTV EZVIZ,img\produk\C6N 2MP.webp,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),499000,,
P05,CCTV EZVIZ INDOOR TY1 3MP,529000,CCTV EZVIZ,img\produk\TY1 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),499000,,
P06,CCTV EZVIZ INDOOR C6N  5MP,729000,CCTV EZVIZ,img\produk\C6N G1 8MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),699000,,
P07,CCTV EZVIZ INDOOR TY1 5MP,729000,CCTV EZVIZ,img\produk\TY1 5MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),699000,,
P08,CCTV EZVIZ INDOOR TY1 8MP,1029000,CCTV EZVIZ,img\produk\TY1 5MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),999000,,
P09,CCTV EZVIZ INDOOR H1C 2MP,459000,CCTV EZVIZ,img\produk\H1C 2MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),429000,,
P10,CCTV EZVIZ INDOOR H6C 2MP,509000,CCTV EZVIZ,img\produk\H6C 2MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),,tidak dijual,
P11,CCTV EZVIZ INDOOR H6C 3MP,529000,CCTV EZVIZ,img\produk\H6C 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),499000,,
P12,CCTV EZVIZ INDOOR H6C 5MP,729000,CCTV EZVIZ,img\produk\H6C 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),699000,,
P13,CCTV EZVIZ INDOOR H6C 8MP,1029000,CCTV EZVIZ,img\produk\H6C 3MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),999000,,
P14,CCTV EZVIZ INDOOR H7C 4+4MP,1129000,CCTV EZVIZ,img\produk\H7C 4MP.jfif,kamera cctv indoor BERGARANSI 1 TAHUN (belum include biaya pasang),1099000,,
P15,CCTV EZVIZ OUTDOOR H3C 2MP,899000,CCTV EZVIZ,img\produk\H3C 2MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),849000,,
P16,CCTV EZVIZ OUTDOOR H3C 4MP,1129000,CCTV EZVIZ,img\produk\H3C 4MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1099000,,
P17,CCTV EZVIZ OUTDOOR H3C 5MP,1229000,CCTV EZVIZ,img\produk\H3C 4MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1199000,,
P18,CCTV EZVIZ OUTDOOR H8C 2MP,879000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),849000,,
P19,CCTV EZVIZ OUTDOOR H8C 3MP,979000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),949000,,
P20,CCTV EZVIZ OUTDOOR H8C 3MP 4G,1389000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1349000,,
P21,CCTV EZVIZ OUTDOOR H8C 4MP,1129000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1099000,,
P22,CCTV EZVIZ OUTDOOR H8C 5MP,1289000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1249000,,
P23,CCTV EZVIZ OUTDOOR H8C 5MP 4G,1629000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1599000,,
P24,CCTV EZVIZ OUTDOOR H8C 8MP,1629000,CCTV EZVIZ,img\produk\H8C 2MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1599000,,
P25,CCTV EZVIZ OUTDOOR H9C 3+3MP,1429000,CCTV EZVIZ,img\produk\H9C 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1399000,,
P26,CCTV EZVIZ OUTDOOR H9C 5+5MP,1829000,CCTV EZVIZ,img\produk\H9C 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1799000,,
P27,CCTV EZVIZ OUTDOOR H9C 5MP 4G,2229000,CCTV EZVIZ,img\produk\H9C 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),2199000,,
P28,EZVIZ H6 5MP,999000,CCTV EZVIZ,img\produk\EZVIZ H6 5MP.webp,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),969000,,
P29,EZVIZ C60P 3+3MP,1239000,CCTV EZVIZ,img\produk\EZVIZ C60P 3+3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1199000,,
P30,EZVIZ H4 3MP,999000,CCTV EZVIZ,img\produk\EZVIZ H4 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),969000,,
P31,EZVIZ H8X 4MP COLORNIGHT,1949000,CCTV EZVIZ,img\produk\EZVIZ H80X 8MP+2MP COLORNIGHT.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1899000,,
P32,EZVIZ H80X 8MP+2MP COLORNIGHT,1949000,CCTV EZVIZ,img\produk\EZVIZ H80X 8MP+2MP COLORNIGHT.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1899000,,
P33,EZVIZ H80F 4+4+4MP,2139000,CCTV EZVIZ,img\produk\EZVIZ H80F 4+4+4MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),2099000,,
P34,EZVIZ H90 4+4MP,1939000,CCTV EZVIZ,img\produk\EZVIZ H90 4+4MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1899000,,
P35,EZVIZ HB8C 4G+SOLAR PANEL KIT,2538000,CCTV EZVIZ,img\produk\EZVIZ HB8C 4G+SOLAR PANEL KIT.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),2499000,,
P36,EZVIZ EB8 4G 4K,3438000,CCTV EZVIZ,img\produk\EZVIZ EB8 4G 4K.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),3399000,,
P37,EZVIZ EB8 4G 4K+SOLAR PANEL-E KIT,4238000,CCTV EZVIZ,img\produk\EZVIZ EB8 4G 4K+SOLAR PANEL-E KIT.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),4199000,,
P38,EZVIZ H8C POE 3MP,999000,CCTV EZVIZ,img\produk\EZVIZ H8C POE 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),949000,,
P39,EZVIZ H5 POE 3MP,969000,CCTV EZVIZ,img\produk\EZVIZ H5 POE 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),929000,,
P40,EZVIZ H4 POE 3MP,959000,CCTV EZVIZ,img\produk\EZVIZ H4 POE 3MP.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),919000,,
P41,EZVIZ HB8C   ,1939000,CCTV EZVIZ,img\produk\EZVIZ HB8C.jfif,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),1899000,,
P42,EZVIZ HB8C+SOLAR PANEL KIT,2399000,CCTV EZVIZ,img\produk\EZVIZ HB8C+SOLAR PANEL KIT.jpg,kamera cctv outdoor BERGARANSI 1 TAHUN (belum include biaya pasang),2349000,,
